#{"run_type": "automatic", "poc_email": "ajuts@stanford.edu", "team_id": "RetrieWin", "topic_set_id": "sample-trec-kba-topics-2013", "corpus_id": "tiny-corpus", "$schema": "http://trec-kba.org/schemas/v1.1/filter-run.json", "team_name": "Stanford University", "system_description_short": "rating=2,contains_mention=1,confidence=exact_match_name_tokens/num_name_tokens", "system_description": "Collapses entity title strings and documents into sets of words and looks for fraction of exact match overlap with entity titles.  Confidence is fraction of entity title words that appear in doc.", "task_id": "kba-ssf-2013", "poc_name": "Aju T Scaria", "run_info": {"num_entities": 4, "num_stream_hours": 3}, "system_id": "Submission_2"}
RetrieWin	Submission_2	1330969428-1729f5273aa2f2f23627ac340330d62e	http://en.wikipedia.org/wiki/Henry_Gutierrez	500.000000	2	1	2012-03-05-17	Contact_Meet_PlaceTime	his_best_Cal	17233-17243
RetrieWin	Submission_2	1330967100-e4a0118aa33921114201968b4f2e0381	http://en.wikipedia.org/wiki/The_Ritz_Apartment_(Ocala,_Florida)	500.000000	2	1	2012-03-05-17	Contact_Meet_Entity	its_Chairman	25664-25675
RetrieWin	Submission_2	1330966860-f349de03802c6838c7b448449c2fb316	http://en.wikipedia.org/wiki/The_Ritz_Apartment_(Ocala,_Florida)	500.000000	2	1	2012-03-05-17	Contact_Meet_Entity	its_Chairman	12305-12316
RetrieWin	Submission_2	1330969020-60a1480f2279c09a5e4923eeef58d9c0	http://en.wikipedia.org/wiki/The_Ritz_Apartment_(Ocala,_Florida)	500.000000	2	1	2012-03-05-17	Contact_Meet_Entity	its_Chairman	27869-27880
RetrieWin	Submission_2	1330967100-e4a0118aa33921114201968b4f2e0381	http://en.wikipedia.org/wiki/The_Ritz_Apartment_(Ocala,_Florida)	500.000000	2	1	2012-03-05-17	Contact_Meet_Entity	OTC_BB	-1--1
RetrieWin	Submission_2	1330966860-f349de03802c6838c7b448449c2fb316	http://en.wikipedia.org/wiki/The_Ritz_Apartment_(Ocala,_Florida)	500.000000	2	1	2012-03-05-17	Contact_Meet_Entity	OTC_BB	-1--1
RetrieWin	Submission_2	1330969020-60a1480f2279c09a5e4923eeef58d9c0	http://en.wikipedia.org/wiki/The_Ritz_Apartment_(Ocala,_Florida)	500.000000	2	1	2012-03-05-17	Contact_Meet_Entity	OTC_BB	-1--1
RetrieWin	Submission_2	1330967100-e4a0118aa33921114201968b4f2e0381	http://en.wikipedia.org/wiki/The_Ritz_Apartment_(Ocala,_Florida)	500.000000	2	1	2012-03-05-17	Contact_Meet_Entity	Chief_Executive_Officer	-1--1
RetrieWin	Submission_2	1330966860-f349de03802c6838c7b448449c2fb316	http://en.wikipedia.org/wiki/The_Ritz_Apartment_(Ocala,_Florida)	500.000000	2	1	2012-03-05-17	Contact_Meet_Entity	Chief_Executive_Officer	-1--1
RetrieWin	Submission_2	1330969020-60a1480f2279c09a5e4923eeef58d9c0	http://en.wikipedia.org/wiki/The_Ritz_Apartment_(Ocala,_Florida)	500.000000	2	1	2012-03-05-17	Contact_Meet_Entity	Chief_Executive_Officer	-1--1
#{
#    "run_type": "automatic", 
#    "poc_email": "ajuts@stanford.edu",
#    "team_id": "RetrieWin",
#    "topic_set_id": "sample-trec-kba-topics-2013",
#    "corpus_id": "tiny-corpus", 
#    "$schema": "http://trec-kba.org/schemas/v1.1/filter-run.json", 
#    "team_name": "Stanford University", 
#    "system_description_short": "rating=2,contains_mention=1,confidence=exact_match_name_tokens/num_name_tokens",
#    "system_description": "Collapses entity title strings and documents into sets of words and looks for fraction of exact match overlap with entity titles.  Confidence is fraction of entity title words that appear in doc.",
#    "task_id": "kba-ccr-2012", 
#    "poc_name": "Aju T Scaria",
#    "run_info": {
#        "num_filter_results": 118,
#        "elapsed_time": 52.14945411682129,
#        "num_entities": 4, 
#        "num_entity_doc_compares": 3312,
#        "num_stream_hours": 3
#    }, 
#    "system_id": "Submission_2"
#}
